dataset,meta-estimator,outcome_model,params_outcome_model,param_C,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2,ate_mean_abs_error,ate_bias,ate_abs_bias,ate_squared_bias,ate_variance,ate_std_error,ate_mse,ate_rmse,mean_ite_bias,mean_ite_abs_bias,mean_ite_squared_bias,mean_ite_variance,mean_ite_std_error,mean_ite_mse,mean_ite_rmse,mean_pehe_squared,mean_pehe,std_of_ite_bias,std_of_ite_abs_bias,std_of_ite_squared_bias,std_of_ite_variance,std_of_ite_std_error,std_of_ite_mse,std_of_ite_rmse,std_of_pehe_squared,std_of_pehe,time
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 0.0001},0.00,-1.00,0.00,1.00,-0.35,0.08,10.00,-0.06,0.12,4.20,-0.35,0.08,10.00,-0.59,0.08,10.00,-0.46,0.35,10.00,0.35,0.35,0.35,0.13,0.07,0.26,0.19,0.44,0.28,0.78,1.05,2.58,1.10,3.63,1.46,3.63,1.86,0.98,0.67,1.70,5.87,1.17,6.64,1.22,1.65,0.42,0.52
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 0.001},0.00,-1.00,0.00,1.00,-0.32,0.10,9.00,-0.06,0.12,4.20,-0.32,0.10,9.00,-0.56,0.09,9.00,-0.33,0.39,9.00,0.33,0.31,0.31,0.10,0.08,0.28,0.17,0.42,0.24,0.75,0.97,2.77,1.11,3.74,1.46,3.74,1.86,0.96,0.64,1.47,6.76,1.24,7.43,1.27,2.02,0.52,0.54
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 0.01},0.01,-1.00,0.00,1.00,-0.25,0.08,4.80,0.00,0.00,1.00,-0.25,0.08,4.80,-0.49,0.08,4.80,-0.02,0.31,4.80,0.28,0.24,0.24,0.06,0.08,0.28,0.13,0.37,0.17,0.78,1.07,3.04,1.15,4.11,1.50,4.11,1.96,1.02,0.68,1.81,7.90,1.31,8.98,1.37,2.05,0.50,0.53
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 0.1},0.10,-1.00,0.00,1.00,-0.24,0.05,2.80,0.00,0.00,1.00,-0.24,0.05,2.80,-0.47,0.06,3.00,0.03,0.22,2.60,0.26,0.14,0.14,0.02,0.09,0.29,0.10,0.32,0.07,0.73,0.99,3.40,1.21,4.39,1.51,4.39,2.04,0.99,0.68,1.92,8.83,1.39,10.02,1.45,2.05,0.48,0.53
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 1.0},1.00,-1.00,0.00,1.00,-0.25,0.05,4.80,0.00,0.00,1.00,-0.25,0.05,4.80,-0.50,0.06,4.60,-0.04,0.22,4.60,0.28,-0.08,0.08,0.01,0.08,0.28,0.08,0.29,-0.15,0.70,1.01,3.52,1.21,4.52,1.48,4.52,2.05,0.99,0.72,1.99,9.02,1.43,10.21,1.53,2.55,0.58,0.53
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 10.0},10.00,-1.00,0.00,1.00,-0.25,0.06,4.80,0.00,0.00,1.00,-0.25,0.06,4.80,-0.49,0.07,4.80,-0.04,0.25,4.60,0.30,-0.20,0.20,0.04,0.07,0.27,0.11,0.33,-0.27,0.73,1.10,3.92,1.27,5.02,1.55,5.02,2.14,1.01,0.75,2.13,10.04,1.52,11.06,1.62,3.30,0.68,0.53
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 100.0},100.00,-1.00,0.00,1.00,-0.24,0.06,2.40,0.00,0.00,1.00,-0.24,0.06,2.40,-0.49,0.06,3.20,-0.00,0.23,2.60,0.29,-0.22,0.22,0.05,0.07,0.26,0.12,0.35,-0.29,0.76,1.18,4.15,1.32,5.32,1.61,5.32,2.20,1.04,0.78,2.29,10.44,1.55,11.45,1.66,3.62,0.71,0.54
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 1000.0},1000.00,-1.00,0.00,1.00,-0.24,0.06,3.40,0.00,0.00,1.00,-0.24,0.06,3.40,-0.49,0.06,3.20,-0.00,0.24,3.00,0.29,-0.23,0.23,0.05,0.07,0.26,0.12,0.35,-0.30,0.76,1.17,4.26,1.34,5.43,1.62,5.43,2.21,1.04,0.77,2.27,10.87,1.57,11.81,1.68,3.90,0.75,0.54
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 10000.0},10000.00,-1.00,0.00,1.00,-0.26,0.06,5.40,0.00,0.00,1.00,-0.26,0.06,5.40,-0.50,0.06,5.60,-0.05,0.26,5.60,0.29,-0.22,0.22,0.05,0.07,0.26,0.12,0.34,-0.29,0.75,1.16,4.24,1.34,5.40,1.62,5.40,2.20,1.04,0.77,2.24,10.75,1.57,11.70,1.67,3.83,0.74,0.55
bpic17,DMLOrthoforest,LogisticRegression_l2_liblinear,{'C': 100000.0},100000.00,-1.00,0.00,1.00,-0.25,0.07,4.80,0.00,0.00,1.00,-0.25,0.07,4.80,-0.49,0.07,4.00,-0.04,0.27,4.20,0.29,-0.24,0.24,0.06,0.07,0.26,0.13,0.35,-0.31,0.76,1.20,4.33,1.35,5.53,1.63,5.53,2.23,1.05,0.78,2.32,10.98,1.58,11.99,1.69,3.92,0.75,0.55
